      Acc.(g)          P05          P50          P95        PMEAN
   1.1400E+00   3.4568E-03   1.2066E-01   6.3468E-01   1.9572E-01
   1.1500E+00   3.1291E-03   1.1430E-01   6.2400E-01   1.8938E-01
   1.1600E+00   2.8356E-03   1.0873E-01   6.1330E-01   1.8321E-01
   1.1700E+00   2.5638E-03   1.0368E-01   6.0258E-01   1.7721E-01
   1.1800E+00   2.3175E-03   9.8558E-02   5.9164E-01   1.7137E-01
   1.1900E+00   2.0967E-03   9.3960E-02   5.8014E-01   1.6571E-01
   1.2000E+00   1.9159E-03   8.9199E-02   5.6800E-01   1.6020E-01
   1.2100E+00   1.7488E-03   8.3991E-02   5.5586E-01   1.5486E-01
   1.2200E+00   1.5883E-03   7.9117E-02   5.4366E-01   1.4967E-01
   1.2300E+00   1.4422E-03   7.4925E-02   5.3122E-01   1.4464E-01
   1.2400E+00   1.3092E-03   7.0660E-02   5.1882E-01   1.3976E-01
   1.2500E+00   1.1881E-03   6.6803E-02   5.0648E-01   1.3502E-01
   1.2600E+00   1.0780E-03   6.3134E-02   4.9421E-01   1.3043E-01
   1.2700E+00   9.7790E-04   5.9548E-02   4.8203E-01   1.2597E-01
   1.2800E+00   8.8688E-04   5.6373E-02   4.6993E-01   1.2166E-01
   1.2900E+00   8.0101E-04   5.3438E-02   4.5863E-01   1.1748E-01
   1.3000E+00   7.2103E-04   5.0240E-02   4.4767E-01   1.1343E-01
   1.3100E+00   6.4892E-04   4.7283E-02   4.3681E-01   1.0951E-01
   1.3200E+00   5.8393E-04   4.4644E-02   4.2582E-01   1.0571E-01
   1.3300E+00   5.2537E-04   4.2259E-02   4.1426E-01   1.0203E-01
   1.3400E+00   4.7417E-04   3.9711E-02   4.0285E-01   9.8477E-02
   1.3500E+00   4.3246E-04   3.7450E-02   3.9159E-01   9.5035E-02
   1.3600E+00   3.9439E-04   3.5068E-02   3.8048E-01   9.1705E-02
   1.3700E+00   3.5967E-04   3.2908E-02   3.7048E-01   8.8484E-02
   1.3800E+00   3.2799E-04   3.0762E-02   3.6061E-01   8.5369E-02
   1.3900E+00   2.9521E-04   2.8952E-02   3.5092E-01   8.2357E-02
   1.4000E+00   2.6556E-04   2.7433E-02   3.4192E-01   7.9446E-02
   1.4100E+00   2.3886E-04   2.5677E-02   3.3260E-01   7.6632E-02
   1.4200E+00   2.1482E-04   2.4332E-02   3.2302E-01   7.3912E-02
   1.4300E+00   1.9318E-04   2.3069E-02   3.1361E-01   7.1284E-02
   1.4400E+00   1.7371E-04   2.1736E-02   3.0436E-01   6.8746E-02
   1.4500E+00   1.5618E-04   2.0445E-02   2.9529E-01   6.6293E-02
   1.4600E+00   1.4041E-04   1.9076E-02   2.8638E-01   6.3925E-02
   1.4700E+00   1.2622E-04   1.7794E-02   2.7765E-01   6.1638E-02
   1.4800E+00   1.1346E-04   1.6593E-02   2.6910E-01   5.9429E-02
   1.4900E+00   1.0212E-04   1.5468E-02   2.6073E-01   5.7297E-02
   1.5000E+00   9.2395E-05   1.4416E-02   2.5253E-01   5.5239E-02
   1.5100E+00   8.3587E-05   1.3588E-02   2.4456E-01   5.3253E-02
   1.5200E+00   7.5613E-05   1.2869E-02   2.3717E-01   5.1336E-02
   1.5300E+00   6.8395E-05   1.2027E-02   2.2994E-01   4.9486E-02
   1.5400E+00   6.1861E-05   1.1194E-02   2.2279E-01   4.7701E-02
   1.5500E+00   5.5947E-05   1.0429E-02   2.1558E-01   4.5978E-02
   1.5600E+00   5.0595E-05   9.7720E-03   2.0854E-01   4.4317E-02
   1.5700E+00   4.5752E-05   9.1061E-03   2.0168E-01   4.2715E-02
   1.5800E+00   4.1370E-05   8.5484E-03   1.9513E-01   4.1169E-02
   1.5900E+00   3.7406E-05   8.0237E-03   1.8938E-01   3.9678E-02
   1.6000E+00   3.3820E-05   7.5306E-03   1.8312E-01   3.8240E-02
   1.6100E+00   3.0593E-05   7.0536E-03   1.7678E-01   3.6854E-02
   1.6200E+00   2.7791E-05   6.5763E-03   1.7045E-01   3.5518E-02
   1.6300E+00   2.5246E-05   6.1287E-03   1.6430E-01   3.4229E-02
   1.6400E+00   2.2935E-05   5.7057E-03   1.5832E-01   3.2986E-02
   1.6500E+00   2.0835E-05   5.3108E-03   1.5252E-01   3.1789E-02
   1.6600E+00   1.8817E-05   4.9465E-03   1.4689E-01   3.0634E-02
   1.6700E+00   1.6904E-05   4.6368E-03   1.4143E-01   2.9521E-02
   1.6800E+00   1.5311E-05   4.3286E-03   1.3613E-01   2.8448E-02
   1.6900E+00   1.3915E-05   4.0272E-03   1.3100E-01   2.7415E-02
   1.7000E+00   1.2715E-05   3.7469E-03   1.2602E-01   2.6418E-02
   1.7100E+00   1.1448E-05   3.4861E-03   1.2120E-01   2.5458E-02
   1.7200E+00   1.0305E-05   3.2496E-03   1.1653E-01   2.4532E-02
   1.7300E+00   9.2758E-06   3.0293E-03   1.1202E-01   2.3641E-02
   1.7400E+00   8.3498E-06   2.8172E-03   1.0765E-01   2.2781E-02
   1.7500E+00   7.5165E-06   2.6199E-03   1.0343E-01   2.1953E-02
   1.7600E+00   6.7666E-06   2.4362E-03   9.9342E-02   2.1155E-02
   1.7700E+00   6.1086E-06   2.2649E-03   9.5477E-02   2.0386E-02
   1.7800E+00   5.5410E-06   2.1052E-03   9.1877E-02   1.9646E-02
   1.7900E+00   5.0262E-06   1.9699E-03   8.8393E-02   1.8932E-02
   1.8000E+00   4.5591E-06   1.8366E-03   8.5022E-02   1.8244E-02
