#S1SEISMIC-1        
--------------------------------------------------------
    Acc.   Failure_P   Cont.(%)        Cumul.  Cumul.(%)
   1.555  7.7502E-11     0.000%    4.7915E-04   100.000%
   1.565  7.1161E-11     0.000%    4.7915E-04   100.000%
   1.575  6.5337E-11     0.000%    4.7915E-04   100.000%
   1.585  5.9988E-11     0.000%    4.7915E-04   100.000%
   1.595  5.5076E-11     0.000%    4.7915E-04   100.000%
   1.605  5.0565E-11     0.000%    4.7915E-04   100.000%
   1.615  4.6423E-11     0.000%    4.7915E-04   100.000%
   1.625  4.2619E-11     0.000%    4.7915E-04   100.000%
   1.635  3.9126E-11     0.000%    4.7915E-04   100.000%
   1.645  3.5919E-11     0.000%    4.7915E-04   100.000%
   1.655  3.2975E-11     0.000%    4.7915E-04   100.000%
   1.665  3.0271E-11     0.000%    4.7915E-04   100.000%
   1.675  2.7789E-11     0.000%    4.7915E-04   100.000%
   1.685  2.5511E-11     0.000%    4.7915E-04   100.000%
   1.695  2.3419E-11     0.000%    4.7915E-04   100.000%
   1.705  2.1498E-11     0.000%    4.7915E-04   100.000%
   1.715  1.9735E-11     0.000%    4.7915E-04   100.000%
   1.725  1.8117E-11     0.000%    4.7915E-04   100.000%
   1.735  1.6631E-11     0.000%    4.7915E-04   100.000%
   1.745  1.5267E-11     0.000%    4.7915E-04   100.000%
   1.755  1.4015E-11     0.000%    4.7915E-04   100.000%
   1.765  1.2866E-11     0.000%    4.7915E-04   100.000%
   1.775  1.1811E-11     0.000%    4.7915E-04   100.000%
   1.785  1.0843E-11     0.000%    4.7915E-04   100.000%
   1.795  9.9536E-12     0.000%    4.7915E-04   100.000%
   1.805  9.1377E-12     0.000%    4.7915E-04   100.000%
   1.815  8.3887E-12     0.000%    4.7915E-04   100.000%
   1.825  7.7012E-12     0.000%    4.7915E-04   100.000%
   1.835  7.0700E-12     0.000%    4.7915E-04   100.000%
   1.845  6.4907E-12     0.000%    4.7915E-04   100.000%
   1.855  5.9590E-12     0.000%    4.7915E-04   100.000%
   1.865  5.4708E-12     0.000%    4.7915E-04   100.000%
   1.875  5.0228E-12     0.000%    4.7915E-04   100.000%
   1.885  4.6114E-12     0.000%    4.7915E-04   100.000%
   1.895  4.2339E-12     0.000%    4.7915E-04   100.000%
   1.905  3.8873E-12     0.000%    4.7915E-04   100.000%
   1.915  3.5691E-12     0.000%    4.7915E-04   100.000%
   1.925  3.2770E-12     0.000%    4.7915E-04   100.000%
   1.935  3.0089E-12     0.000%    4.7915E-04   100.000%
   1.945  2.7628E-12     0.000%    4.7915E-04   100.000%
   1.955  2.5368E-12     0.000%    4.7915E-04   100.000%
   1.965  2.3294E-12     0.000%    4.7915E-04   100.000%
   1.975  2.1389E-12     0.000%    4.7915E-04   100.000%
   1.985  1.9641E-12     0.000%    4.7915E-04   100.000%
   1.995  1.8036E-12     0.000%    4.7915E-04   100.000%
 
 
#S1SEISMIC-2        
--------------------------------------------------------
    Acc.   Failure_P   Cont.(%)        Cumul.  Cumul.(%)
   0.105  1.7131E-10     0.005%    1.7131E-10     0.005%
   0.115  3.7925E-10     0.012%    5.5056E-10     0.017%
   0.125  7.4559E-10     0.023%    1.2962E-09     0.040%
   0.135  1.3302E-09     0.041%    2.6263E-09     0.082%
   0.145  2.1897E-09     0.068%    4.8160E-09     0.150%
   0.155  3.3697E-09     0.105%    8.1857E-09     0.255%
   0.165  4.8982E-09     0.153%    1.3084E-08     0.408%
   0.175  6.7815E-09     0.211%    1.9865E-08     0.619%
   0.185  9.0027E-09     0.280%    2.8868E-08     0.899%
   0.195  1.1523E-08     0.359%    4.0391E-08     1.258%
   0.205  1.0167E-08     0.317%    5.0559E-08     1.575%
   0.215  1.2834E-08     0.400%    6.3392E-08     1.975%
   0.225  1.5801E-08     0.492%    7.9194E-08     2.467%
   0.235  1.9027E-08     0.593%    9.8221E-08     3.060%
   0.245  2.2461E-08     0.700%    1.2068E-07     3.759%
   0.255  2.6043E-08     0.811%    1.4673E-07     4.570%
   0.265  2.9712E-08     0.926%    1.7644E-07     5.496%
   0.275  3.3403E-08     1.040%    2.0984E-07     6.536%
   0.285  3.7053E-08     1.154%    2.4689E-07     7.691%
   0.295  4.0602E-08     1.265%    2.8750E-07     8.955%
   0.305  3.5471E-08     1.105%    3.2297E-07    10.060%
   0.315  3.8860E-08     1.210%    3.6183E-07    11.271%
   0.325  4.2170E-08     1.314%    4.0400E-07    12.584%
   0.335  4.5361E-08     1.413%    4.4936E-07    13.997%
   0.345  4.8397E-08     1.508%    4.9775E-07    15.505%
   0.355  5.1246E-08     1.596%    5.4900E-07    17.101%
   0.365  5.3881E-08     1.678%    6.0288E-07    18.780%
   0.375  5.6280E-08     1.753%    6.5916E-07    20.533%
   0.385  5.8425E-08     1.820%    7.1759E-07    22.353%
   0.395  6.0303E-08     1.878%    7.7789E-07    24.231%
   0.405  5.3165E-08     1.656%    8.3106E-07    25.887%
   0.415  5.4974E-08     1.712%    8.8603E-07    27.600%
   0.425  5.6575E-08     1.762%    9.4261E-07    29.362%
   0.435  5.7959E-08     1.805%    1.0006E-06    31.167%
   0.445  5.9126E-08     1.842%    1.0597E-06    33.009%
   0.455  6.0073E-08     1.871%    1.1198E-06    34.880%
   0.465  6.0804E-08     1.894%    1.1806E-06    36.774%
   0.475  6.1321E-08     1.910%    1.2419E-06    38.685%
   0.485  6.1632E-08     1.920%    1.3035E-06    40.604%
   0.495  6.1742E-08     1.923%    1.3653E-06    42.528%
   0.505  5.4854E-08     1.709%    1.4201E-06    44.236%
   0.515  5.5070E-08     1.715%    1.4752E-06    45.952%
   0.525  5.5131E-08     1.717%    1.5303E-06    47.669%
   0.535  5.5044E-08     1.715%    1.5854E-06    49.384%
   0.545  5.4817E-08     1.708%    1.6402E-06    51.091%
   0.555  5.4457E-08     1.696%    1.6946E-06    52.788%
   0.565  5.3973E-08     1.681%    1.7486E-06    54.469%
   0.575  5.3372E-08     1.663%    1.8020E-06    56.131%
   0.585  5.2665E-08     1.641%    1.8546E-06    57.772%
   0.595  5.1860E-08     1.615%    1.9065E-06    59.387%
   0.605  4.5291E-08     1.411%    1.9518E-06    60.798%
   0.615  4.4751E-08     1.394%    1.9965E-06    62.192%
   0.625  4.4136E-08     1.375%    2.0407E-06    63.567%
   0.635  4.3453E-08     1.354%    2.0841E-06    64.920%
   0.645  4.2707E-08     1.330%    2.1268E-06    66.251%
   0.655  4.1907E-08     1.305%    2.1687E-06    67.556%
   0.665  4.1056E-08     1.279%    2.2098E-06    68.835%
   0.675  4.0161E-08     1.251%    2.2500E-06    70.086%
   0.685  3.9229E-08     1.222%    2.2892E-06    71.308%
   0.695  3.8264E-08     1.192%    2.3275E-06    72.500%
   0.705  3.7272E-08     1.161%    2.3647E-06    73.661%
   0.715  3.6258E-08     1.129%    2.4010E-06    74.790%
   0.725  3.5227E-08     1.097%    2.4362E-06    75.888%
   0.735  3.4182E-08     1.065%    2.4704E-06    76.952%
   0.745  3.3129E-08     1.032%    2.5035E-06    77.984%
   0.755  2.7720E-08     0.863%    2.5312E-06    78.848%
   0.765  2.7017E-08     0.842%    2.5583E-06    79.690%
   0.775  2.6302E-08     0.819%    2.5846E-06    80.509%
   0.785  2.5580E-08     0.797%    2.6101E-06    81.306%
   0.795  2.4852E-08     0.774%    2.6350E-06    82.080%
   0.805  2.4122E-08     0.751%    2.6591E-06    82.831%
   0.815  2.3390E-08     0.729%    2.6825E-06    83.560%
   0.825  2.2660E-08     0.706%    2.7052E-06    84.266%
   0.835  2.1933E-08     0.683%    2.7271E-06    84.949%
   0.845  2.1211E-08     0.661%    2.7483E-06    85.610%
   0.855  2.0495E-08     0.638%    2.7688E-06    86.248%
   0.865  1.9787E-08     0.616%    2.7886E-06    86.864%
   0.875  1.9088E-08     0.595%    2.8077E-06    87.459%
   0.885  1.8400E-08     0.573%    2.8261E-06    88.032%
   0.895  1.7723E-08     0.552%    2.8438E-06    88.584%
   0.905  1.7059E-08     0.531%    2.8609E-06    89.116%
   0.915  1.6408E-08     0.511%    2.8773E-06    89.627%
   0.925  1.5771E-08     0.491%    2.8930E-06    90.118%
   0.935  1.5149E-08     0.472%    2.9082E-06    90.590%
   0.945  1.4541E-08     0.453%    2.9227E-06    91.043%
   0.955  1.3949E-08     0.435%    2.9367E-06    91.477%
   0.965  1.3373E-08     0.417%    2.9501E-06    91.894%
   0.975  1.2813E-08     0.399%    2.9629E-06    92.293%
   0.985  1.2269E-08     0.382%    2.9751E-06    92.675%
   0.995  1.1742E-08     0.366%    2.9869E-06    93.041%
   1.005  1.1231E-08     0.350%    2.9981E-06    93.391%
   1.015  1.0737E-08     0.334%    3.0089E-06    93.725%
   1.025  1.0259E-08     0.320%    3.0191E-06    94.045%
   1.035  9.7967E-09     0.305%    3.0289E-06    94.350%
   1.045  9.3511E-09     0.291%    3.0383E-06    94.641%
   1.055  8.9214E-09     0.278%    3.0472E-06    94.919%
   1.065  8.5074E-09     0.265%    3.0557E-06    95.184%
   1.075  8.1089E-09     0.253%    3.0638E-06    95.437%
   1.085  7.7255E-09     0.241%    3.0715E-06    95.677%
   1.095  7.3571E-09     0.229%    3.0789E-06    95.907%
   1.105  7.0033E-09     0.218%    3.0859E-06    96.125%
   1.115  6.6637E-09     0.208%    3.0925E-06    96.332%
   1.125  6.3381E-09     0.197%    3.0989E-06    96.530%
   1.135  6.0260E-09     0.188%    3.1049E-06    96.717%
   1.145  5.7270E-09     0.178%    3.1106E-06    96.896%
   1.155  5.4408E-09     0.169%    3.1161E-06    97.065%
   1.165  5.1671E-09     0.161%    3.1212E-06    97.226%
   1.175  4.9054E-09     0.153%    3.1262E-06    97.379%
   1.185  4.6553E-09     0.145%    3.1308E-06    97.524%
   1.195  4.4164E-09     0.138%    3.1352E-06    97.662%
   1.205  4.1885E-09     0.130%    3.1394E-06    97.792%
   1.215  3.9710E-09     0.124%    3.1434E-06    97.916%
   1.225  3.7637E-09     0.117%    3.1471E-06    98.033%
   1.235  3.5660E-09     0.111%    3.1507E-06    98.144%
   1.245  3.3778E-09     0.105%    3.1541E-06    98.249%
   1.255  3.1985E-09     0.100%    3.1573E-06    98.349%
   1.265  3.0279E-09     0.094%    3.1603E-06    98.443%
   1.275  2.8656E-09     0.089%    3.1632E-06    98.533%
   1.285  2.7113E-09     0.084%    3.1659E-06    98.617%
   1.295  2.5646E-09     0.080%    3.1685E-06    98.697%
   1.305  2.4252E-09     0.076%    3.1709E-06    98.772%
   1.315  2.2928E-09     0.071%    3.1732E-06    98.844%
   1.325  2.1672E-09     0.068%    3.1753E-06    98.911%
   1.335  2.0479E-09     0.064%    3.1774E-06    98.975%
   1.345  1.9347E-09     0.060%    3.1793E-06    99.035%
   1.355  1.8274E-09     0.057%    3.1812E-06    99.092%
   1.365  1.7256E-09     0.054%    3.1829E-06    99.146%
   1.375  1.6292E-09     0.051%    3.1845E-06    99.197%
   1.385  1.5378E-09     0.048%    3.1860E-06    99.245%
   1.395  1.4512E-09     0.045%    3.1875E-06    99.290%
   1.405  1.3693E-09     0.043%    3.1889E-06    99.333%
   1.415  1.2917E-09     0.040%    3.1902E-06    99.373%
   1.425  1.2183E-09     0.038%    3.1914E-06    99.411%
   1.435  1.1488E-09     0.036%    3.1925E-06    99.447%
   1.445  1.0831E-09     0.034%    3.1936E-06    99.480%
   1.455  1.0210E-09     0.032%    3.1946E-06    99.512%
   1.465  9.6226E-10     0.030%    3.1956E-06    99.542%
   1.475  9.0676E-10     0.028%    3.1965E-06    99.570%
   1.485  8.5432E-10     0.027%    3.1974E-06    99.597%
   1.495  8.0478E-10     0.025%    3.1982E-06    99.622%
   1.505  7.5799E-10     0.024%    3.1989E-06    99.646%
   1.515  7.1382E-10     0.022%    3.1996E-06    99.668%
   1.525  6.7211E-10     0.021%    3.2003E-06    99.689%
   1.535  6.3276E-10     0.020%    3.2009E-06    99.708%
   1.545  5.9562E-10     0.019%    3.2015E-06    99.727%
   1.555  5.6058E-10     0.017%    3.2021E-06    99.745%
   1.565  5.2753E-10     0.016%    3.2026E-06    99.761%
   1.575  4.9637E-10     0.015%    3.2031E-06    99.776%
   1.585  4.6698E-10     0.015%    3.2036E-06    99.791%
   1.595  4.3928E-10     0.014%    3.2040E-06    99.805%
   1.605  4.1317E-10     0.013%    3.2044E-06    99.818%
   1.615  3.8857E-10     0.012%    3.2048E-06    99.830%
   1.625  3.6539E-10     0.011%    3.2052E-06    99.841%
   1.635  3.4355E-10     0.011%    3.2055E-06    99.852%
   1.645  3.2298E-10     0.010%    3.2059E-06    99.862%
   1.655  3.0361E-10     0.009%    3.2062E-06    99.871%
   1.665  2.8537E-10     0.009%    3.2064E-06    99.880%
   1.675  2.6820E-10     0.008%    3.2067E-06    99.888%
   1.685  2.5204E-10     0.008%    3.2070E-06    99.896%
   1.695  2.3683E-10     0.007%    3.2072E-06    99.904%
   1.705  2.2251E-10     0.007%    3.2074E-06    99.911%
   1.715  2.0904E-10     0.007%    3.2076E-06    99.917%
   1.725  1.9637E-10     0.006%    3.2078E-06    99.923%
   1.735  1.8445E-10     0.006%    3.2080E-06    99.929%
   1.745  1.7323E-10     0.005%    3.2082E-06    99.934%
   1.755  1.6269E-10     0.005%    3.2083E-06    99.939%
   1.765  1.5277E-10     0.005%    3.2085E-06    99.944%
   1.775  1.4345E-10     0.004%    3.2086E-06    99.949%
   1.785  1.3469E-10     0.004%    3.2088E-06    99.953%
   1.795  1.2645E-10     0.004%    3.2089E-06    99.957%
   1.805  1.1870E-10     0.004%    3.2090E-06    99.961%
   1.815  1.1143E-10     0.003%    3.2091E-06    99.964%
